"","plot_name","ddlon","ddlat"
"1","TCB002",10.85048,-3.22639
"2","TCB003",10.8488,-3.23008
"3","TCB004",11.00414,-3.02803
"4","TCB005",9.79111,0.74305
"5","TCB006",9.89822,0.81033
"6","TCB007",9.61418,0.79839
"7","TCB008",9.79168,0.77429
"8","TCB009",9.71827,0.76987
"9","TCB010",14.2028,-1.540769
"10","TCB011",14.0867,-1.46661
"11","TCB012",14.088,-1.46354
"12","TCB013",14.0698,-1.61983
"13","TCB015",14.0461,-1.69459
"14","TCB016",13.9664,-1.45201
"15","TCB017",14.1275,-1.30542
"16","TCB018",14.1183,-1.67104
"17","TCB019",14.0757,-1.61633
"18","TCB020",14.184,-1.47721
"19","TCB021",14.1203,-1.64032
"20","TCB022",14.1208,-1.60402
"21","TEA009",9.4264,-0.08148
"22","TEA010",9.42468,-0.10581
"23","TEA011",9.43815,-0.08705
"24","TEA040",11.335859,-3.376691
"25","TEA041",11.340918,-3.379055
"26","TEA042",11.345097,-3.367422
"27","TEA043",11.341747,-3.373749
"28","TEA044",11.345342,-3.361845
"29","TEA045",11.347917,-3.360503
"30","TEA046",11.350232,-3.35482
"31","TEA047",10.8075,-1.572222
"32","TEA048",11.028,-2.006906
"33","TEA049",11.1037,-2.046364
"34","TJK016",9.87217,-0.122517
"35","TJK018",9.87158,-0.105115
"36","TJK021",9.66579,-0.165863
"37","TJK022",9.67598,-0.15812
"38","TJK023",9.65777,-0.151157
"39","TJK025",9.68532,-0.17723
"40","TJK026",9.68198,-0.17437
"41","TJK027",12.5835,-1.65073
"42","TJK028",12.5898,-1.65778
"43","TJK029",12.5727,-1.6586
"44","TJK030",12.5848,-1.65522
"45","TJK031",12.5794,-1.78649
"46","TJK032",12.5766,-1.79217
"47","TJK033",12.5874,-1.79072
"48","TJK037",12.8004,0.5174
"49","TJK039",12.7987,0.510182
"50","TJK040",12.7989,0.50533
"51","TJK041",12.792,0.506447
"52","TJK042",12.8012,0.50145
"53","TJK049",12.3002,0.405693
"54","TJK050",12.3031,0.392328
"55","TJK053",10.5485,0.35979
"56","TJK054",10.5828,0.361278
"57","TJK055",10.3768,0.320398
"58","TJK056",10.406,0.386473
"59","TJK057",10.3491,0.356778
"60","TJK058",10.9601,0.634563
"61","TJK059",10.9642,0.645738
"62","TJK060",10.8741,0.438612
"63","TJK061",10.8149,0.474867
"64","TJK062",10.8205,0.436618
"65","TJK063",13.170715,1.112763
"66","TJK064",13.169138,1.132038
"67","TJK074",13.269812,0.66439
"68","TJK075",13.25673,0.662896
"69","TJK078",13.197774,0.757539
"70","TJK079",13.198464,0.955805
"71","TJK080",13.222239,1.097522
"72","TJK081",13.200531,1.073586
"73","TJK082",13.209873,1.120477
"74","TJK083",13.18257,1.077299
"75","TJK084",13.160829,1.096374
"76","TJK085",13.158126,1.035699
"77","TJK086",13.167043,1.114045
"78","TJK087",13.188194,0.943399
"79","TNT076",13.2038,-1.20981
"80","TNT077",13.0751,-1.11754
"81","TNT078",13.0276,-1.00172
"82","TNT079",12.866,-1.21352
"83","TNT080",12.9505,-1.25233
"84","TNT081",12.7183,-0.90493
"85","TNT082",12.9211,-0.88698
"86","TNT083",11.015301,-3.775718
"87","TRUSTM010",13.8602,-1.97531
"88","TRUSTM011",13.8538,-1.97292
"89","TRUSTM012",13.8672,-1.97464
"90","TRUSTM013",13.9257,-1.92769
"91","TRUSTM014",13.9306,-1.93622
"92","TRUSTM015",13.9301,-1.94395
"93","TRUSTM016",13.9398,-1.9372
"94","TS055",9.34064,-0.17397
"95","TS056",9.356516,-0.158045
"96","TS057",9.36713,0.02516
"97","TS058",9.38102,-0.115868
"98","TS059",9.379794,-0.059002
"99","TS060",9.350057,0.038051
