"","plot_name","ddlon","ddlat","Al","Ca","Cu","Fe","Mg","Mn","P","K","Zn","pH","Sand","OM","cec","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","CLOUDinter","CLOUDintra","CLOUDmean","CLOUDseason","aspect","cnd","ci","elev","hand","lsf","plc","prc","tca","vd","twi","slope","api","hapi","LOGG"
"1","TCB002",10.85048,-3.22639,729.13,11.09,0.29,527.8,17.99,2.14,4.09,52.26,0.57,3.98,51.56,12.73,4.71,235.779708862305,39,460.939422607422,1162.57897949219,271.779693603516,186.524002075195,85,238.779708862305,217.779708862305,249.230545043945,215.779708862305,1850.74816894531,386.662322998047,1,76.893798828125,1008.45831298828,5.36190605163574,594.343383789062,15,473.938079833984,231.477676391602,9360.5439453125,13.9299764633179,2.89837431907654,21.3507385253906,4.95281362533569,307.168792724609,40.8135795593262,0.630467236042023,13715153,570926.1875,1.17109073016763e-06,106.398155212402,-16.6793193817139,1.55848002433777,0.235061421990395,0.713512122631073,0
"2","TCB003",10.8488,-3.23008,516.45,15.58,1.09,544.84,15.69,3.1,9.39,42.86,0.72,4.04,74.77,8.5,3.09,235.97102355957,39,460.130340576172,1165.88391113281,271.971038818359,186.48551940918,85,238.97102355957,217.97102355957,249.48551940918,215.97102355957,1888.53088378906,394.817535400391,1,77,1029.46166992188,5.69206762313843,605.703125,15,468.829711914062,241.207534790039,9363.78125,14.4883079528809,3.44793844223022,7.98681735992432,-4.51050758361816,289.830413818359,16.4419288635254,2.15225219726562,2142084,-13900333,4.84978772874456e-05,119.044853210449,-13.3264064788818,1.51034891605377,0.234136611223221,0.674528837203979,0
"3","TCB004",11.00414,-3.02803,984.98,73.89,0.55,432.62,62.38,21.75,14.47,72.87,1.05,4.04,30.89,8.72,9.19,243.552368164062,44,497.037445068359,1050.28393554688,279.552368164062,192.414276123047,88,245.552368164062,226.552368164062,255.552368164062,225.420272827148,1323.072265625,244.609008789062,0,74,631.460266113281,3,501.478668212891,5.98800134658813,701.849243164062,668.761962890625,8653.78515625,49.1604156494141,2.41743516921997,151.984252929688,10.5805292129517,304.813323974609,150.554870605469,0.462448865175247,35272636,24819258,2.1670432204246e-07,172.183547973633,-18.2583312988281,1.57077074050903,0.336430460214615,0.583488464355469,0
"4","TCB005",9.79111,0.74305,491.56,11.84,0.34,320.08,11,3.24,9.17,35.69,0.71,3.84,80.44,6.48,2.94,249.261688232422,40,577.307922363281,689.662963867188,283.13525390625,214.055053710938,69,248.055053710938,238.747131347656,258.747131347656,238.747131347656,2723.61962890625,497.643981933594,8,62.6118850708008,1334.92419433594,58.4475440979004,841.731323242188,58.4475440979004,652.564392089844,611.720764160156,8837.4306640625,42.156494140625,2.72405695915222,90.0956954956055,9.31753063201904,186.786849975586,90.2758483886719,0.481419622898102,20472446,13397034,2.38695179177739e-07,32.4788703918457,-17.8952121734619,1.57075643539429,0.878214001655579,0.439778298139572,89
"5","TCB006",9.89822,0.81033,439.6,25.43,0.77,606.79,15.43,2.97,12.65,31.47,0.85,4.12,78.39,7.26,2.27,254,42,590.514526367188,673.017150878906,289,218,71,252.485458374023,243,263,243,2657.11083984375,476.568237304688,8,62,1302.11010742188,58.6158332824707,833.943115234375,58.6158332824707,738.0673828125,687.729858398438,8432.75,50.4542922973633,2.78945422172546,0.178484693169594,-6.37566328048706,24.7787227630615,4.44724225997925,6.82671022415161,348607.78125,-811642.8125,0.00302414339967072,186.345031738281,-8.24482154846191,1.45400261878967,0.610820293426514,0.401825219392776,49
"6","TCB007",9.61418,0.79839,444.16,29.19,0.1,205.77,19.94,1.97,2.36,34.91,0.43,4.23,87.22,4.14,3.04,254,35.3909683227539,548.8447265625,733.799072265625,286.138122558594,221.390975952148,65,252.390975952148,242.390975952148,264,242.390975952148,3422.50390625,624.964721679688,11,63,1689.60522460938,78.804801940918,1077.640625,78.804801940918,881.417541503906,742.560974121094,7622.4501953125,57.4577827453613,3.69783425331116,12.6082344055176,1.50232625007629,36.4406814575195,11.1895523071289,0.57943993806839,169336.265625,1015323.25,5.5331759085675e-07,178.650695800781,-15.1603260040283,1.53666734695435,0.907620847225189,0.441621571779251,89
"7","TCB008",9.79168,0.77429,364.22,12.46,0.16,183.82,11.92,1.36,4.95,21.27,0.39,4.16,89.41,3.63,2.37,251.196640014648,40,578.291381835938,690.795349121094,285.543365478516,216.196640014648,69,250.196640014648,240.543365478516,260.543365478516,240.543365478516,2615.02197265625,476.682769775391,8,62.1652488708496,1285.60925292969,58,813.367980957031,58,665.7841796875,671.342041015625,8694.7578125,44.8088150024414,3.30104398727417,10.8465785980225,0.318482428789139,89.1557693481445,13.3092775344849,0.723613739013672,204305.75,273473,1.14407509954617e-06,128.741195678711,-15.0602025985718,1.55674684047699,0.784353852272034,0.417890131473541,89
"8","TCB009",9.71827,0.76987,824.5,8.21,0.66,294.24,14.5,2.53,3,49.24,0.64,4.12,66.89,6.15,6.7,251.718597412109,38,567.144348144531,706.57421875,284.793365478516,217.718597412109,67.6381149291992,250.718597412109,240.718597412109,261.718597412109,240.718597412109,3012.14794921875,559.420288085938,9.20662689208984,63,1488.44348144531,67.7694320678711,927.627685546875,67.7694320678711,616.685363769531,655.765075683594,8770.689453125,47.4603614807129,2.56289386749268,22.3674335479736,2.575763463974,101.033813476562,33.349853515625,0.560774683952332,761470.0625,3664217.25,4.89323838337441e-07,115.99299621582,-15.5122842788696,1.55114054679871,0.776717483997345,0.438093096017838,89
"9","TCB010",14.2028,-1.540769,137.15,5.17,0.03,185.78,5.27,0.49,12.56,19.61,0.32,3.9,95.83,2.91,1.21,238.776062011719,48,590.594543457031,668.9326171875,275.37060546875,194.8369140625,81,237.37060546875,229.8369140625,247.776062011719,228.37060546875,1568.63342285156,218.741363525391,12,52,642.326354980469,59,520.402587890625,62,771.908203125,557.966430664062,8313.5263671875,21.4123668670654,2.0303270816803,6.16390514373779,-1.02360641956329,443.056396484375,14.7339210510254,2.84460234642029,-960468.625,-6606707,6.76284025757923e-06,142.333679199219,-14.1175928115845,1.52701079845428,0.396209686994553,0.621036291122437,0
"10","TCB011",14.0867,-1.46661,265.4,2.69,0.04,333.13,2.75,0.57,9.04,11.53,0.25,3.58,93.02,3.91,1.31,235.610794067383,47,588.939147949219,676.652221679688,272.610809326172,192.077102661133,80,234.077102661133,226.610794067383,244.610794067383,225.077102661133,1696.14440917969,243.225433349609,13.405463218689,53,711.400390625,65.5610046386719,555.414978027344,66.0947036743164,694.835327148438,482.299560546875,8303.173828125,21.7697696685791,4.75161981582642,15.2118053436279,-1.12393534183502,481.854827880859,16.0053310394287,2.88316226005554,1655990.25,-2952097,1.49766920003458e-05,132.706161499023,-14.4201135635376,1.54581069946289,0.382427960634232,0.499150931835175,0
