"","tax_fam","tax_gen","tax_esp","gen_count","fam_count"
"1","Achariaceae","Dasylepis","racemosa",1,2
"2","Achariaceae","Scottellia","klaineana",1,2
"3","Anacardiaceae","Antrocaryon","klaineanum",1,5
"4","Anacardiaceae","Lannea","welwitschii",1,5
"5","Anacardiaceae","Pseudospondias","longifolia",2,5
"6","Anacardiaceae","Pseudospondias","microcarpa",2,5
"7","Anacardiaceae","Sorindeia","africana",3,5
"8","Anacardiaceae","Sorindeia","juglandifolia",3,5
"9","Anacardiaceae","Sorindeia","winkleri",3,5
"10","Anacardiaceae","Trichoscypha","acuminata",9,5
"11","Anacardiaceae","Trichoscypha","arborea",9,5
"12","Anacardiaceae","Trichoscypha","bijuga",9,5
"13","Anacardiaceae","Trichoscypha","engong",9,5
"14","Anacardiaceae","Trichoscypha","laxiflora",9,5
"15","Anacardiaceae","Trichoscypha","mannii",9,5
"16","Anacardiaceae","Trichoscypha","nyangensis",9,5
"17","Anacardiaceae","Trichoscypha","oddonii",9,5
"18","Anacardiaceae","Trichoscypha","patens",9,5
"19","Anisophylleaceae","Anisophyllea","myriosticta",3,1
"20","Anisophylleaceae","Anisophyllea","neopurpurascens",3,1
"21","Anisophylleaceae","Anisophyllea","polyneura",3,1
"22","Annonaceae","Annickia","affinis",2,15
"23","Annonaceae","Annickia","lebrunii",2,15
"24","Annonaceae","Anonidium","brieyi",3,15
"25","Annonaceae","Anonidium","floribundum",3,15
"26","Annonaceae","Anonidium","mannii",3,15
"27","Annonaceae","Brieya","fasciculatum",1,15
"28","Annonaceae","Cleistopholis","glauca",2,15
"29","Annonaceae","Cleistopholis","patens",2,15
"30","Annonaceae","Duguetia","confinis",3,15
"31","Annonaceae","Duguetia","dilabens",3,15
"32","Annonaceae","Duguetia","staudtii",3,15
"33","Annonaceae","Greenwayodendron","gabonicum",3,15
"34","Annonaceae","Greenwayodendron","glabrum",3,15
"35","Annonaceae","Greenwayodendron","suaveolens",3,15
"36","Annonaceae","Hexalobus","crispiflorus",1,15
"37","Annonaceae","Isolona","hexaloba",1,15
"38","Annonaceae","Meiocarpidium","oliverianum",1,15
"39","Annonaceae","Monodora","angolensis",1,15
"40","Annonaceae","Piptostigma","macranthum",2,15
"41","Annonaceae","Piptostigma","multinervium",2,15
"42","Annonaceae","Polyceratocarpus","microtrichus",2,15
"43","Annonaceae","Polyceratocarpus","pellegrinii",2,15
"44","Annonaceae","Uvariastrum","pierreanum",2,15
"45","Annonaceae","Uvariastrum","zenkeri",2,15
"46","Annonaceae","Uvariopsis","vanderystii",1,15
"47","Annonaceae","Xylopia","aethiopica",10,15
"48","Annonaceae","Xylopia","cupularis",10,15
"49","Annonaceae","Xylopia","globosa",10,15
"50","Annonaceae","Xylopia","hypolampra",10,15
"51","Annonaceae","Xylopia","letestui",10,15
"52","Annonaceae","Xylopia","phloiodora",10,15
"53","Annonaceae","Xylopia","pynaertii",10,15
"54","Annonaceae","Xylopia","quintasii",10,15
"55","Annonaceae","Xylopia","rubescens",10,15
"56","Annonaceae","Xylopia","staudtii",10,15
"57","Apocynaceae","Alstonia","boonei",2,8
"58","Apocynaceae","Alstonia","congensis",2,8
"59","Apocynaceae","Funtumia","africana",1,8
"60","Apocynaceae","Hunteria","umbellata",1,8
"61","Apocynaceae","Malouetia","mildbraedii",1,8
"62","Apocynaceae","Picralima","nitida",1,8
"63","Apocynaceae","Rauvolfia","caffra",3,8
"64","Apocynaceae","Rauvolfia","letouzeyi",3,8
"65","Apocynaceae","Rauvolfia","vomitoria",3,8
"66","Apocynaceae","Tabernaemontana","crassa",2,8
"67","Apocynaceae","Tabernaemontana","penduliflora",2,8
"68","Apocynaceae","Voacanga","africana",1,8
"69","Arecaceae","Elaeis","guineensis",1,1
"70","Asparagaceae","Dracaena","arborea",2,1
"71","Asparagaceae","Dracaena","laxissima",2,1
"72","Bignoniaceae","Markhamia","tomentosa",1,3
"73","Bignoniaceae","Newbouldia","laevis",1,3
"74","Bignoniaceae","Spathodea","campanulata",1,3
"75","Boraginaceae","Cordia","platythyrsa",1,1
"76","Burseraceae","Aucoumea","klaineana",1,4
"77","Burseraceae","Canarium","schweinfurthii",1,4
"78","Burseraceae","Dacryodes","buettneri",14,4
"79","Burseraceae","Dacryodes","camerunensis",14,4
"80","Burseraceae","Dacryodes","ebatom",14,4
"81","Burseraceae","Dacryodes","edulis",14,4
"82","Burseraceae","Dacryodes","heterotricha",14,4
"83","Burseraceae","Dacryodes","igaganga",14,4
"84","Burseraceae","Dacryodes","klaineana",14,4
"85","Burseraceae","Dacryodes","le-testui",14,4
"86","Burseraceae","Dacryodes","ledermannii",14,4
"87","Burseraceae","Dacryodes","macrophylla",14,4
"88","Burseraceae","Dacryodes","normandii",14,4
"89","Burseraceae","Dacryodes","osika",14,4
"90","Burseraceae","Dacryodes","pubescens",14,4
"91","Burseraceae","Dacryodes","villiersiana",14,4
"92","Burseraceae","Santiria","ebo",3,4
"93","Burseraceae","Santiria","obovata",3,4
"94","Burseraceae","Santiria","trimera",3,4
"95","Calophyllaceae","Endodesmia","calophylloides",1,2
"96","Calophyllaceae","Mammea","africana",2,2
"97","Calophyllaceae","Mammea","usambarensis",2,2
"98","Cannabaceae","Celtis","mildbraedii",2,1
"99","Cannabaceae","Celtis","tessmannii",2,1
"100","Capparaceae","Buchholzia","coriacea",1,2
"101","Capparaceae","Maerua","duchesnei",1,2
"102","Cardiopteridaceae","Leptaulus","daphnoides",3,1
"103","Cardiopteridaceae","Leptaulus","grandifolius",3,1
"104","Cardiopteridaceae","Leptaulus","zenkeri",3,1
"105","Celastraceae","Wilczekra","gabonica",1,1
"106","Centroplacaceae","Centroplacus","glaucinus",1,1
"107","Chrysobalanaceae","Dactyladenia","eketensis",5,5
"108","Chrysobalanaceae","Dactyladenia","letestui",5,5
"109","Chrysobalanaceae","Dactyladenia","librevillensis",5,5
"110","Chrysobalanaceae","Dactyladenia","pallescens",5,5
"111","Chrysobalanaceae","Dactyladenia","staudtii",5,5
"112","Chrysobalanaceae","Licania","elaeosperma",1,5
"113","Chrysobalanaceae","Magnistipula","bimarsupiata",4,5
"114","Chrysobalanaceae","Magnistipula","cupheiflora",4,5
"115","Chrysobalanaceae","Magnistipula","glaberrima",4,5
"116","Chrysobalanaceae","Magnistipula","tessmannii",4,5
"117","Chrysobalanaceae","Maranthes","chrysophylla",3,5
"118","Chrysobalanaceae","Maranthes","gabunensis",3,5
"119","Chrysobalanaceae","Maranthes","glabra",3,5
"120","Chrysobalanaceae","Parinari","hypochrysea",1,5
"121","Clusiaceae","Allanblackia","floribunda",1,4
"122","Clusiaceae","Garcinia","afzelii",12,4
"123","Clusiaceae","Garcinia","conrauana",12,4
"124","Clusiaceae","Garcinia","epunctata",12,4
"125","Clusiaceae","Garcinia","kola",12,4
"126","Clusiaceae","Garcinia","le-testui",12,4
"127","Clusiaceae","Garcinia","lucida",12,4
"128","Clusiaceae","Garcinia","mannii",12,4
"129","Clusiaceae","Garcinia","obliqua",12,4
"130","Clusiaceae","Garcinia","ovalifolia",12,4
"131","Clusiaceae","Garcinia","preussii",12,4
"132","Clusiaceae","Garcinia","punctata",12,4
"133","Clusiaceae","Garcinia","smeathmannii",12,4
"134","Clusiaceae","Pentadesma","butyracea",2,4
"135","Clusiaceae","Pentadesma","grandifolia",2,4
"136","Clusiaceae","Symphonia","globulifera",1,4
"137","Combretaceae","Strephonema","mannii",2,2
"138","Combretaceae","Strephonema","sericeum",2,2
"139","Combretaceae","Terminalia","superba",1,2
"140","Connaraceae","Hemandradenia","chevalieri",2,2
"141","Connaraceae","Hemandradenia","mannii",2,2
"142","Connaraceae","Jollydora","duparquetiana",1,2
"143","Ctenolophonaceae","Ctenolophon","englerianus",1,1
"144","Dichapetalaceae","Dichapetalum","angolense",3,2
"145","Dichapetalaceae","Dichapetalum","insigne",3,2
"146","Dichapetalaceae","Dichapetalum","integripetalum",3,2
"147","Dichapetalaceae","Tapura","africana",3,2
"148","Dichapetalaceae","Tapura","bouquetiana",3,2
"149","Dichapetalaceae","Tapura","le-testui",3,2
"150","Dipterocarpaceae","Trillesanthus","excelsus",1,1
"151","Ebenaceae","Diospyros","bipindensis",21,1
"152","Ebenaceae","Diospyros","boala",21,1
"153","Ebenaceae","Diospyros","cinnabarina",21,1
"154","Ebenaceae","Diospyros","conocarpa",21,1
"155","Ebenaceae","Diospyros","dendo",21,1
"156","Ebenaceae","Diospyros","fragrans",21,1
"157","Ebenaceae","Diospyros","gabunensis",21,1
"158","Ebenaceae","Diospyros","gracilescens",21,1
"159","Ebenaceae","Diospyros","hoyleana",21,1
"160","Ebenaceae","Diospyros","iturensis",21,1
"161","Ebenaceae","Diospyros","kamerunensis",21,1
"162","Ebenaceae","Diospyros","mannii",21,1
"163","Ebenaceae","Diospyros","melocarpa",21,1
"164","Ebenaceae","Diospyros","obliquifolia",21,1
"165","Ebenaceae","Diospyros","physocalycina",21,1
"166","Ebenaceae","Diospyros","piscatoria",21,1
"167","Ebenaceae","Diospyros","preussii",21,1
"168","Ebenaceae","Diospyros","sanza-minika",21,1
"169","Ebenaceae","Diospyros","simulans",21,1
"170","Ebenaceae","Diospyros","vermoesenii",21,1
"171","Ebenaceae","Diospyros","zenkeri",21,1
"172","Erythroxylaceae","Aneulophus","africanus",1,2
"173","Erythroxylaceae","Pinacopodium","congolense",1,2
"174","Euphorbiaceae","Anthostema","aubryanum",1,24
"175","Euphorbiaceae","Cavacoa","quintasii",1,24
"176","Euphorbiaceae","Chaetocarpus","africanus",1,24
"177","Euphorbiaceae","Croton","oligandrus",2,24
"178","Euphorbiaceae","Croton","sylvaticus",2,24
"179","Euphorbiaceae","Crotonogyne","gabunensis",1,24
"180","Euphorbiaceae","Dichostemma","glaucescens",1,24
"181","Euphorbiaceae","Discoglypremna","caloneura",1,24
"182","Euphorbiaceae","Elaeophorbia","grandifolia",1,24
"183","Euphorbiaceae","Grossera","paniculata",1,24
"184","Euphorbiaceae","Gymnanthes","inopinata",1,24
"185","Euphorbiaceae","Klaineanthus","gabonii",1,24
"186","Euphorbiaceae","Macaranga","barteri",5,24
